timestamp,distance,temperature,brightness
12746,4095,warm,73
13371,4095,warm,73
13967,4095,warm,73
14613,4095,warm,73
15188,4095,warm,73
15772,4095,warm,73
16477,4095,warm,73
17243,4095,warm,73
17898,4095,warm,73
18720,4095,warm,73
19703,4095,warm,73
20315,4095,warm,73
20938,4095,warm,73
21551,4081,warm,73
22123,4095,warm,73
22695,4095,warm,73
23394,4095,warm,73
23986,4095,warm,73
24569,4095,warm,73
25232,240,cool,227
25854,245,cool,227
26426,4095,warm,73
26998,4095,warm,73
27691,4095,warm,73
28306,4095,warm,73
28879,4095,warm,73
29539,4095,warm,73
30142,259,cool,227
30726,272,cool,227
31378,253,cool,227
31960,257,cool,227
32537,4095,warm,73
33120,4095,warm,73
33832,4095,warm,73
34414,4095,warm,73
34987,4095,warm,73
35680,4095,warm,73
36252,4095,warm,73
36826,4095,warm,73
37400,4095,warm,73
37973,4095,warm,73
38555,4095,warm,73
39161,4095,warm,73
39784,4095,warm,73
40406,4095,warm,73
41009,4095,warm,73
41581,4095,warm,73
42163,4095,warm,73
42848,4095,warm,73
43461,4095,warm,73
44034,4095,warm,73
44619,4095,warm,73
45312,4095,warm,73
45884,4095,warm,73
46457,4095,warm,73
47033,4095,warm,73
47607,4095,warm,73
48190,4095,warm,73
48762,4095,warm,73
49345,4095,warm,73
50018,4095,warm,73
50614,4095,warm,73
51186,4095,warm,73
51758,4095,warm,73
52331,4095,warm,73
53094,4095,warm,73
53697,4095,warm,73
54270,4095,warm,73
54848,4095,warm,73
55427,4095,warm,73
56004,4095,warm,73
56587,4095,warm,73
57182,4095,warm,73
57765,4095,warm,73
58417,4095,warm,73
58991,4095,warm,73
59564,4095,warm,73
60139,4095,warm,73
60945,4095,warm,73
61528,4095,warm,73
62302,4095,warm,73
62885,4095,warm,73
63538,4095,warm,73
64120,4095,warm,73
64703,4095,warm,73
65276,4095,warm,73
65848,4095,warm,73
66423,4095,warm,73
67015,4095,warm,73
67598,4095,warm,73
68241,4095,warm,73
68853,4095,warm,73
69476,229,cool,227
70051,231,cool,227
70624,267,cool,227
71324,4095,warm,73
71927,4095,warm,73
72550,4095,warm,73
73367,4095,warm,73
73939,4095,warm,73
74592,4095,warm,73
75215,4095,warm,73
75798,4095,warm,73
76442,4095,warm,73
77047,4095,warm,73
77661,4095,warm,73
78243,4095,warm,73
24116,4095,warm,73
27602,4095,warm,73
28204,4095,warm,73
29019,4095,warm,73
29641,4095,warm,73
30224,4095,warm,73
30796,51,cool,227
31378,57,cool,227
32101,69,cool,227
32704,50,cool,227
33336,65,cool,227
33919,350,cool,227
34545,4095,warm,73
35159,4095,warm,73
35731,46,cool,227
36314,48,cool,227
37005,52,cool,227
37587,34,cool,227
38162,4095,warm,73
38745,4095,warm,73
39461,4095,warm,73
40083,4095,warm,73
40688,4095,warm,73
41313,4095,warm,73
41916,4095,warm,73
42548,38,cool,227
43151,55,cool,227
43723,46,cool,227
44375,56,cool,227
44987,4095,warm,73
45570,45,cool,227
46223,46,cool,227
46836,4095,warm,73
47455,4095,warm,73
48259,4095,warm,73
48882,4095,warm,73
49505,38,cool,227
50114,4095,warm,73
50697,4095,warm,73
51283,41,cool,227
51869,53,cool,227
52571,47,cool,227
53193,56,cool,227
53768,46,cool,227
54354,50,cool,227
55028,4095,warm,73
55641,4095,warm,73
56258,4095,warm,73
56831,41,cool,227
57414,4095,warm,73
58095,4095,warm,73
58713,4095,warm,73
59300,4095,warm,73
59944,4095,warm,73
60556,4095,warm,73
61179,4095,warm,73
61768,4095,warm,73
62404,4095,warm,73
62996,4095,warm,73
63574,4095,warm,73
64166,4095,warm,73
64748,38,cool,227
65337,38,cool,227
66089,46,cool,227
66704,51,cool,227
67317,4095,warm,73
67890,4095,warm,73
68473,4095,warm,73
69058,41,cool,227
69654,4095,warm,73
70239,4095,warm,73
71006,4095,warm,73
71618,4095,warm,73
72201,4095,warm,73
72848,4095,warm,73
73420,4095,warm,73
74073,4095,warm,73
74659,4095,warm,73
75242,4095,warm,73
75917,4095,warm,73
76530,4095,warm,73
77144,4095,warm,73
77758,4095,warm,73
78381,4095,warm,73
78994,40,cool,227
79606,46,cool,227
80183,48,cool,227
80765,4095,warm,73
81337,4095,warm,73
81926,4095,warm,73
82513,4095,warm,73
83295,4095,warm,73
83899,4095,warm,73
84522,4095,warm,73
85114,4095,warm,73
85696,4095,warm,73
86268,4095,warm,73
86851,4095,warm,73
87596,4095,warm,73
88188,4095,warm,73
88817,4095,warm,73
89433,4095,warm,73
90048,4095,warm,73
90641,4095,warm,73
91224,4095,warm,73
91897,4095,warm,73
92516,4095,warm,73
93129,4095,warm,73
93712,4095,warm,73
94354,4095,warm,73
94968,4095,warm,73
95550,4095,warm,73
96202,4095,warm,73
96815,4095,warm,73
97389,4095,warm,73
98052,4095,warm,73
98664,4095,warm,73
99236,4095,warm,73
99879,4095,warm,73
100462,4095,warm,73
101034,37,cool,227
101617,4095,warm,73
102332,4095,warm,73
102905,4095,warm,73
103485,4095,warm,73
104057,4095,warm,73
104643,4095,warm,73
105408,4095,warm,73
105982,4095,warm,73
106564,4095,warm,73
107249,4095,warm,73
107832,4095,warm,73
108492,4095,warm,73
109066,4095,warm,73
109712,4095,warm,73
110325,4095,warm,73
110942,4095,warm,73
111515,4095,warm,73
112169,4095,warm,73
